album,group,track_no,title,source,original_game,musician,feat,description,mp3_url,runtime
Harmony of a Hunter,Disc 1,1,In the Beginning...,Title Screen,Metroid,Mercurial,,Formerly credited as MercuryAdept,,
Harmony of a Hunter,Disc 1,2,Danger in Old Tourian,Zebes Planetfall (Exterior); Crateria - The Space Pirates Emerge,Super Metroid,DoctorM64,,,,
Harmony of a Hunter,Disc 1,3,Earthroot,Brinstar Red,Super Metroid,VikingGuitar,,,,
Harmony of a Hunter,Disc 1,4,Bioluminescence,Sector 4 (AQA) Underwater,Metroid Fusion,Theophany,,,,
Harmony of a Hunter,Disc 1,5,Infectious Fear,Sector 1 (SRX),Metroid Fusion,The Fishhead,,,,
Harmony of a Hunter,Disc 1,6,Desperation,Escape,Metroid,Mozzaratti,,,,
Harmony of a Hunter,Disc 1,7,Into the Green World,Green Brinstar,Super Metroid,Sam Dillard,,,,
Harmony of a Hunter,Disc 1,8,Leader's Lair,Ridley's Hideout,Metroid,Prophetik,,,,
Harmony of a Hunter,Disc 1,9,The Caves of Brinstar,Brinstar,Metroid,Tim Hellmann,,Formaly credited as AriesT,,
Harmony of a Hunter,Disc 1,10,Ashes to Ashes,Lower Norfair,Super Metroid,zircon,,,,
Harmony of a Hunter,Disc 1,11,Kraid's Campfire Ballad,Kraid's Lair,Metroid,Sebastian Mårtensson,Kristin Björkebäck,,,
Harmony of a Hunter,Disc 1,12,Cave Dweller,Vs Ridley,Super Metroid,Prophetik,,,,
Harmony of a Hunter,Disc 1,13,The Mission's Briefing,Final Mission,Metroid Fusion,Tim Hellmann,,Formaly credited as AriesT,,
Harmony of a Hunter,Disc 1,14,Metroid Legacy,Prologue,Super Metroid,Omni-Psyence,,,,
Harmony of a Hunter,Disc 1,15,M2Q,Vs Metroid Queen,Metroid II: Return of Samus,Stemage;Chunkstyle,,,,
Harmony of a Hunter,Disc 1,16,Mission Complete Ending Suite,Various,Various,Sam Dillard,,Tracks: Ending (Metroid; Metroid II: Return of Samus; Super Metroid; Metroid Fusion),,
Harmony of a Hunter,Disc 1,17,Metroid Medley,Various,Various,Derris-Kharlan,,Track list (see note),,